Alarm,En_TrobleShootingDescription,ZH_TrobleShootingDescription,TrobleShootingFilePath
Fork_Has_Cargo_But_Initialize_Running,Ask GPM for Help,請洽GPM,
Fork_Disabled,Ask GPM for Help,請洽GPM,
AGV_Cant_Goto_Workstation_When_Fork_Is_Disabled,Ask GPM for Help,請洽GPM,
Fork_Initialize_Process_Interupt,Ask GPM for Help,請洽GPM,
Fork_Initialize_Process_Error_Occur,Ask GPM for Help,請洽GPM,
Fork_Initialized_But_Home_Input_Not_ON,Ask GPM for Help,請洽GPM,
Fork_Go_Home_But_Home_Sensor_Signal_Error,Ask GPM for Help,請洽GPM,
Fork_Initialized_But_Driver_Position_Not_ZERO,Ask GPM for Help,請洽GPM,
Laser_Mode_Switch_Fail_DO_Write_Fail,Ask GPM for Help,請洽GPM,
Laser_Mode_Switch_Fail_Exception,Ask GPM for Help,請洽GPM,
Laser_Mode_Switch_Fail_Timeout,Ask GPM for Help,請洽GPM,
Laser_Mode_Switch_But_SICK_OUPUT_NOT_UPDATE,Ask GPM for Help,請洽GPM,
Localization_Fail,Ask GPM for Help,請洽GPM,
Measure_Result_Data_Report_Fail,Ask GPM for Help,請洽GPM,
Exception_When_AGVC_AGVS_Task_Reset_Abort,Ask GPM for Help,請洽GPM,
Exception_When_AGVC_AGVS_Task_Reset_CycleStop,Ask GPM for Help,請洽GPM,
GetVirtualIDFail,Ask GPM for Help,請洽GPM,
Fork_Arm_Action_Timeout,Ask GPM for Help,請洽GPM,
Fork_Arm_Action_Error,Ask GPM for Help,請洽GPM,
Replan,Ask GPM for Help,請洽GPM,
Limit_Switch_Sensor,Ask GPM for Help,請洽GPM,
Send_Goal_to_AGV_But_AGVS_Cancel_Req_Raised,Ask GPM for Help,請洽GPM,
Fork_Slot_Teach_Data_ERROR,Ask GPM for Help,請洽GPM,
Battery_Low_Level_Auto_PC_Shutdown,Ask GPM for Help,請洽GPM,
